id	locationID	countryCode	establishmentMeans
94306	Turkey	TR	Alien
94307	Turkey	TR	Alien
94308	Turkey	TR	Alien
94309	Turkey	TR	Alien
94310	Turkey	TR	Alien
94311	Turkey	TR	Alien
94312	Turkey	TR	Alien
94313	Turkey	TR	Alien
94314	Turkey	TR	Alien
94315	Turkey	TR	Alien
94316	Turkey	TR	Alien
94317	Turkey	TR	Alien
94318	Turkey	TR	Alien
94319	Turkey	TR	Alien
94320	Turkey	TR	Alien
94321	Turkey	TR	Alien
94322	Turkey	TR	Alien
94323	Turkey	TR	Alien
94324	Turkey	TR	Alien
94325	Turkey	TR	Alien
94326	Turkey	TR	Alien
94327	Turkey	TR	Alien
94328	Turkey	TR	Alien
94329	Turkey	TR	Alien
94330	Turkey	TR	Alien
94331	Turkey	TR	Alien
94332	Turkey	TR	Alien
94333	Turkey	TR	Alien
94334	Turkey	TR	Alien
94335	Turkey	TR	Alien
94336	Turkey	TR	Alien
94337	Turkey	TR	Alien
94338	Turkey	TR	Alien
94339	Turkey	TR	Alien
94340	Turkey	TR	Native|Alien
94341	Turkey	TR	Alien
94342	Turkey	TR	Alien
94343	Turkey	TR	Alien
94344	Turkey	TR	Alien
94345	Turkey	TR	Alien
94346	Turkey	TR	Alien
94347	Turkey	TR	Alien
94348	Turkey	TR	Alien
94349	Turkey	TR	Alien
94350	Turkey	TR	Alien
94351	Turkey	TR	Alien
94352	Turkey	TR	Alien
94353	Turkey	TR	Alien
94354	Turkey	TR	Alien
94355	Turkey	TR	Alien
94356	Turkey	TR	Alien
94357	Turkey	TR	Alien
94358	Turkey	TR	Alien
94359	Turkey	TR	Alien
94360	Turkey	TR	Alien
94361	Turkey	TR	Alien
94362	Turkey	TR	Alien
94363	Turkey	TR	Alien
94364	Turkey	TR	Alien
94365	Turkey	TR	Alien
94366	Turkey	TR	Cryptogenic|Uncertain
94367	Turkey	TR	Alien
94368	Turkey	TR	Alien
94369	Turkey	TR	Alien
94370	Turkey	TR	Alien
94371	Turkey	TR	Alien
94372	Turkey	TR	Alien
94373	Turkey	TR	Alien
94374	Turkey	TR	Alien
94375	Turkey	TR	Alien
94376	Turkey	TR	Alien
94377	Turkey	TR	Alien
94378	Turkey	TR	Alien
94379	Turkey	TR	Alien
94380	Turkey	TR	Alien
94381	Turkey	TR	Alien
94382	Turkey	TR	Alien
94383	Turkey	TR	Alien
94384	Turkey	TR	Alien
94385	Turkey	TR	Alien
94386	Turkey	TR	Alien
94387	Turkey	TR	Alien
94388	Turkey	TR	Alien
94389	Turkey	TR	Alien
94390	Turkey	TR	Alien
94391	Turkey	TR	Alien
94392	Turkey	TR	Alien
94393	Turkey	TR	Alien
94394	Turkey	TR	Alien
94395	Turkey	TR	Alien
94396	Turkey	TR	Alien
94397	Turkey	TR	Alien
94398	Turkey	TR	Alien
94399	Turkey	TR	Alien
94400	Turkey	TR	Alien
94401	Turkey	TR	Alien
94402	Turkey	TR	Alien
94403	Turkey	TR	Alien
94404	Turkey	TR	Alien
94405	Turkey	TR	Alien
94406	Turkey	TR	Alien
94407	Turkey	TR	Alien
94408	Turkey	TR	Alien
94409	Turkey	TR	Alien
94410	Turkey	TR	Alien
94411	Turkey	TR	Alien
94412	Turkey	TR	Alien
94413	Turkey	TR	Alien
